Time	ResultSignal
0.12386	2.02916
0.12387	2.03202
0.12388	2.03468
0.12389	2.03715
0.1239	2.03946
0.12391	2.04161
0.12392	2.04363
0.12393	2.04554
0.12394	2.04735
0.12395	2.04908
0.12396	2.05075
0.12397	2.05237
0.12398	2.05396
0.12399	2.05554
0.124	2.05712
0.12401	2.0587
0.12402	2.06031
0.12403	2.06196
0.12404	2.06365
0.12405	2.0654
0.12406	2.06722
0.12407	2.0691
0.12408	2.07107
0.12409	2.07312
0.1241	2.07525
0.12411	2.07747
0.12412	2.07979
0.12413	2.0822
0.12414	2.08469
0.12415	2.08728
0.12416	2.08994
0.12417	2.09269
0.12418	2.09551
0.12419	2.0984
0.1242	2.10134
0.12421	2.10433
0.12422	2.10736
0.12423	2.11042
0.12424	2.11348
0.12425	2.11654
0.12426	2.11959
0.12427	2.1226
0.12428	2.12556
0.12429	2.12846
0.1243	2.13126
0.12431	2.13397
0.12432	2.13654
0.12433	2.13897
0.12434	2.14123
0.12435	2.14331
0.12436	2.14517
0.12437	2.14681
0.12438	2.14818
0.12439	2.14929
0.1244	2.15009
0.12441	2.15057
0.12442	2.15071
0.12443	2.15048
0.12444	2.14986
0.12445	2.14884
0.12446	2.14738
0.12447	2.14547
0.12448	2.1431
0.12449	2.14023
0.1245	2.13685
0.12451	2.13295
0.12452	2.12851
0.12453	2.12351
0.12454	2.11793
0.12455	2.11177
0.12456	2.105
0.12457	2.09763
0.12458	2.08963
0.12459	2.081
0.1246	2.07174
0.12461	2.06183
0.12462	2.05127
0.12463	2.04006
0.12464	2.0282
0.12465	2.01568
0.12466	2.0025
0.12467	1.98868
0.12468	1.97421
0.12469	1.95911
0.1247	1.94337
0.12471	1.927
0.12472	1.91003
0.12473	1.89245
0.12474	1.87429
0.12475	1.85555
0.12476	1.83626
0.12477	1.81644
0.12478	1.79609
0.12479	1.77526
0.1248	1.75394
0.12481	1.73218
0.12482	1.70999
0.12483	1.68741
0.12484	1.66445
0.12485	1.64114
0.12486	1.61753
0.12487	1.59363
0.12488	1.56947
0.12489	1.5451
0.1249	1.52053
0.12491	1.49581
0.12492	1.47097
0.12493	1.44604
0.12494	1.42105
0.12495	1.39605
0.12496	1.37106
0.12497	1.34613
0.12498	1.32128
0.12499	1.29656
0.125	1.27199
0.12501	1.24761
0.12502	1.22346
0.12503	1.19957
0.12504	1.17598
0.12505	1.15271
0.12506	1.1298
0.12507	1.10728
0.12508	1.08519
0.12509	1.06354
0.1251	1.04238
0.12511	1.02172
0.12512	1.0016
0.12513	0.982042
0.12514	0.963068
0.12515	0.944702
0.12516	0.926967
0.12517	0.909883
0.12518	0.893467
0.12519	0.877739
0.1252	0.862714
0.12521	0.848405
0.12522	0.834827
0.12523	0.821989
0.12524	0.809902
0.12525	0.798574
0.12526	0.78801
0.12527	0.778215
0.12528	0.769192
0.12529	0.760942
0.1253	0.753464
0.12531	0.746757
0.12532	0.740816
0.12533	0.735637
0.12534	0.731211
0.12535	0.727532
0.12536	0.724588
0.12537	0.722368
0.12538	0.720859
0.12539	0.720047
0.1254	0.719915
0.12541	0.720448
0.12542	0.721626
0.12543	0.72343
0.12544	0.72584
0.12545	0.728835
0.12546	0.732391
0.12547	0.736485
0.12548	0.741093
0.12549	0.74619
0.1255	0.75175
0.12551	0.757747
0.12552	0.764155
0.12553	0.770945
0.12554	0.778091
0.12555	0.785565
0.12556	0.793339
0.12557	0.801384
0.12558	0.809673
0.12559	0.818177
0.1256	0.826869
0.12561	0.835721
0.12562	0.844707
0.12563	0.853798
0.12564	0.862968
0.12565	0.872193
0.12566	0.881445
0.12567	0.890702
0.12568	0.899938
0.12569	0.909131
0.1257	0.918259
0.12571	0.927301
0.12572	0.936236
0.12573	0.945045
0.12574	0.95371
0.12575	0.962214
0.12576	0.970541
0.12577	0.978678
0.12578	0.986609
0.12579	0.994324
0.1258	1.00181
0.12581	1.00906
0.12582	1.01607
0.12583	1.02282
0.12584	1.02931
0.12585	1.03554
0.12586	1.04151
0.12587	1.04721
0.12588	1.05264
0.12589	1.05781
0.1259	1.06272
0.12591	1.06736
0.12592	1.07174
0.12593	1.07588
0.12594	1.07977
0.12595	1.08343
0.12596	1.08686
0.12597	1.09007
0.12598	1.09308
0.12599	1.09589
0.126	1.09852
0.12601	1.10098
0.12602	1.10329
0.12603	1.10545
0.12604	1.10749
0.12605	1.10942
0.12606	1.11125
0.12607	1.113
0.12608	1.11469
0.12609	1.11633
0.1261	1.11794
0.12611	1.11954
0.12612	1.12114
0.12613	1.12275
0.12614	1.12439
0.12615	1.12609
0.12616	1.12784
0.12617	1.12968
0.12618	1.1316
0.12619	1.13363
0.1262	1.13577
0.12621	1.13803
0.12622	1.14044
0.12623	1.14299
0.12624	1.14569
0.12625	1.14856
0.12626	1.15159
0.12627	1.15479
0.12628	1.15818
0.12629	1.16174
0.1263	1.16547
0.12631	1.16939
0.12632	1.17348
0.12633	1.17775
0.12634	1.18218
0.12635	1.18678
0.12636	1.19153
0.12637	1.19642
0.12638	1.20144
0.12639	1.20658
0.1264	1.21183
0.12641	1.21717
0.12642	1.22258
0.12643	1.22804
0.12644	1.23353
0.12645	1.23904
0.12646	1.24453
0.12647	1.24998
0.12648	1.25536
0.12649	1.26066
0.1265	1.26583
0.12651	1.27085
0.12652	1.27569
0.12653	1.28032
0.12654	1.28469
0.12655	1.28878
0.12656	1.29256
0.12657	1.29597
0.12658	1.299
0.12659	1.3016
0.1266	1.30373
0.12661	1.30536
0.12662	1.30644
0.12663	1.30694
0.12664	1.30681
0.12665	1.30603
0.12666	1.30454
0.12667	1.30231
0.12668	1.29931
0.12669	1.29548
0.1267	1.2908
0.12671	1.28523
0.12672	1.27873
0.12673	1.27126
0.12674	1.26279
0.12675	1.25328
0.12676	1.24271
0.12677	1.23103
0.12678	1.21823
0.12679	1.20426
0.1268	1.18911
0.12681	1.17275
0.12682	1.15514
0.12683	1.13628
0.12684	1.11613
0.12685	1.09468
0.12686	1.07192
0.12687	1.04782
0.12688	1.02238
0.12689	0.99559
0.1269	0.967432
0.12691	0.937906
0.12692	0.907008
0.12693	0.874738
0.12694	0.841095
0.12695	0.806086
0.12696	0.769716
0.12697	0.731994
0.12698	0.692932
0.12699	0.652545
0.127	0.610849
0.12701	0.567865
0.12702	0.523613
0.12703	0.47812
0.12704	0.431411
0.12705	0.383518
0.12706	0.334472
0.12707	0.284309
0.12708	0.233065
0.12709	0.180782
0.1271	0.1275
0.12711	0.0732642
0.12712	0.0181218
0.12713	-0.0378786
0.12714	-0.0946858
0.12715	-0.152247
0.12716	-0.210506
0.12717	-0.269407
0.12718	-0.32889
0.12719	-0.388896
0.1272	-0.449362
0.12721	-0.510224
0.12722	-0.571417
0.12723	-0.632876
0.12724	-0.694531
0.12725	-0.756315
0.12726	-0.818159
0.12727	-0.87999
0.12728	-0.941739
0.12729	-1.00333
0.1273	-1.0647
0.12731	-1.12577
0.12732	-1.18646
0.12733	-1.24671
0.12734	-1.30644
0.12735	-1.36558
0.12736	-1.42405
0.12737	-1.48179
0.12738	-1.53872
0.12739	-1.59477
0.1274	-1.64987
0.12741	-1.70395
0.12742	-1.75694
0.12743	-1.80878
0.12744	-1.8594
0.12745	-1.90873
0.12746	-1.95671
0.12747	-2.00328
0.12748	-2.04838
0.12749	-2.09196
0.1275	-2.13394
0.12751	-2.17429
0.12752	-2.21295
0.12753	-2.24986
0.12754	-2.28499
0.12755	-2.31828
0.12756	-2.34969
0.12757	-2.37919
0.12758	-2.40673
0.12759	-2.43227
0.1276	-2.4558
0.12761	-2.47727
0.12762	-2.49666
0.12763	-2.51394
0.12764	-2.5291
0.12765	-2.54211
0.12766	-2.55296
0.12767	-2.56164
0.12768	-2.56813
0.12769	-2.57244
0.1277	-2.57454
0.12771	-2.57446
0.12772	-2.57218
0.12773	-2.56771
0.12774	-2.56107
0.12775	-2.55225
0.12776	-2.54128
0.12777	-2.52817
0.12778	-2.51295
0.12779	-2.49562
0.1278	-2.47623
0.12781	-2.45479
0.12782	-2.43133
0.12783	-2.4059
0.12784	-2.37852
0.12785	-2.34923
0.12786	-2.31808
0.12787	-2.2851
0.12788	-2.25034
0.12789	-2.21385
0.1279	-2.17568
0.12791	-2.13587
0.12792	-2.09448
0.12793	-2.05157
0.12794	-2.00719
0.12795	-1.9614
0.12796	-1.91426
0.12797	-1.86583
0.12798	-1.81617
0.12799	-1.76534
0.128	-1.71342
0.12801	-1.66046
0.12802	-1.60653
0.12803	-1.55171
0.12804	-1.49604
0.12805	-1.43962
0.12806	-1.3825
